,count,mean,std,min,25%,50%,75%,max
Tangail,41336.0,65.20810552544997,49.25992032080385,1.6,27.4,48.5,90.8,402.5
Taungdwingyi,8700.0,28.385908045977015,20.218448551699822,4.3,10.2,21.9,44.5,105.6
Taunggyi,9852.0,29.153329273244008,21.769833538620418,4.0,10.1,22.9,43.2,190.0
Taungoo,30820.0,27.971601232965607,19.69016832639744,3.2,11.9,21.875,41.0,159.5
Tezpur,31485.0,34.71989042401143,25.85885769427494,2.8,15.1,26.4,48.5,381.0
Thakurgaon,34547.0,52.67938460647813,38.0385074808748,3.6,22.2,41.2,74.2,426.2
Thanesar,41800.0,66.19701674641149,44.77211578696761,5.1,34.8,54.5,86.3,711.2
Tharyarwady,18614.0,27.197174169979583,19.757891503245574,2.6,9.1,23.2,41.7,140.7
Thaton,30952.0,26.598712522615667,19.600963955727607,2.4,10.5,20.5,39.6,138.7
Thayetmyo,7780.0,30.019498714652958,20.548893818332118,4.3,9.9,25.8,47.0,98.5
Thongwa,18677.0,26.300813835198376,21.198572541864344,1.4,7.6,21.4,40.9,162.4
Tikamgarh,32175.0,54.724214452214454,36.9970950578753,5.2,26.6,45.2,73.3,497.6
Tilhar,41431.0,77.79678260239918,55.733386441664166,5.4,35.5,62.2,105.55,570.8
Tinsukia,31317.0,23.055643899479517,14.564600031639872,4.1,12.0,19.0,30.3,211.6
Titagarh,41764.0,64.63758619863998,52.222578005901525,1.4,25.5,47.7,90.8,705.2
Tohana,41795.0,63.608012920205766,42.40706445790664,4.2,34.9,53.0,80.2,600.2
Tundla,41742.0,79.09585309759953,61.994033244582184,4.8,35.3,59.9,103.3,731.4
Tungi,41331.0,71.50694998911229,58.710421513292374,1.5,27.7,51.1,99.5,550.2
Tungipara,41366.0,60.20439249625296,44.78949730082778,1.2,25.8,45.3,84.2,334.5
Ujhani,41820.0,80.15160449545672,58.79014763107764,5.2,36.1,63.1,108.22500000000001,579.7
Ujjain,32596.0,48.3684040986624,31.726398624325743,2.8,25.2,40.7,64.7,625.6
Unnao,39810.0,86.77224441095201,67.89742837322413,1.5,37.9,66.2,116.0,746.6
Uppal Kalan,41334.0,43.74039410654666,26.66123896751783,1.4,21.4,39.1,62.0,281.6
Varanasi,39726.0,77.84195237376026,61.139094728914756,3.0,34.2,60.9,103.9,819.0
Vidisha,30732.0,46.43302746323051,29.590186123218356,3.1,23.9,39.1,62.2,359.4
Vrindavan,41747.0,76.20593096509928,55.06195639223473,6.4,36.6,60.5,98.6,637.3
Wanparti,41334.0,37.07317462621571,20.64635755877572,3.2,19.4,34.0,51.6,172.5
Warangal,41346.0,39.991145455424956,22.75954893408351,3.9,20.9,36.2,55.6,222.8
Yamethin,9803.0,29.52817504845455,20.802118126587523,4.2,10.4,24.1,45.1,160.2
Yamunanagar,41797.0,68.92124434768046,44.667137681614754,4.9,36.7,57.8,90.5,894.7
Yangon,18660.0,26.324019292604504,22.57703097856581,0.8,7.0,21.1,40.9,180.4
Yenangyaung,2259.0,23.85790172642762,17.94189058478796,4.9,10.1,16.7,36.5,83.0
